,1,2,3,4,5,6,7,8
Republican,0.17090489895004488,0.15312435788697693,0.22838834229162563,0.23327051008601526,0.3419251767995953,0.3150395647022746,0.3926835474723635,0.38051826742895556
Democrat,0.2897203086935576,0.3435133487503053,0.26153714791223814,0.33160002281801754,0.27045152278008067,0.34394083305240003,0.2588154710401067,0.3394869983487387
Independent,0.3247622011151887,0.29475480825823724,0.3312763737686289,0.24551222946498302,0.2792721629995764,0.22873447747360706,0.3055891883884933,0.23030257291733966
Something Else,0.21461259124120885,0.20860748510448052,0.17879813602750746,0.18961723763098426,0.1083511374207477,0.11228512477171829,0.04291179309903664,0.04969216130496609
