,ABC News,CBS News,NBC News,NPR,Rush Limbaugh Show (radio),Sean Hannity Show (radio),Washington Post,The New York Times,HuffPost,Breitbart,BBC,Time,Univision,Vice,Daily Caller,Fox News,MSNBC,CNN,PBS,The Wall Street Journal,USA Today,Politico,BuzzFeed,Newsweek,Business Insider,Vox,The Hill,Washington Examiner,New York Post,The Guardian,Opinion of Trump,Party,Social Media Usage,Weights,Age/Sex Category
35,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,2,1,0,1,0,0,0,0,2,1,2,0,0.5,Republican,Sometimes,67.0,5.0
36,2,2,2,0,2,2,2,2,0,2,2,2,0,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,1.0,Republican,Never,119.0,6.0
37,1,1,1,2,2,2,1,1,2,2,2,2,2,0,0,2,1,2,2,2,1,2,2,2,2,0,2,2,2,2,-0.96,Independent,Hardly Ever,72.0,7.0
38,2,1,2,2,2,0,1,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,0,2,2,2,2,2,-1.0,Democrat,Sometimes,61.0,6.0
39,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,-1.0,Independent,Never,90.0,7.0
40,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0.8,Republican,Hardly Ever,155.0,5.0
41,2,2,2,1,2,2,2,2,2,0,2,2,2,0,0,2,2,1,1,2,2,0,0,2,2,0,0,0,0,0,-1.0,Democrat,Never,58.0,7.0
42,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,-1.0,Democrat,Hardly Ever,111.0,8.0
43,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,2,1,1,2,2,0,2,2,0,0,0,0,2,0,0.0,Republican,Sometimes,95.0,6.0
44,1,1,1,0,0,0,1,2,0,0,2,2,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,0,-1.0,Democrat,Hardly Ever,154.0,7.0
